author_name;book_id;role_name
Усанов В.;1211010;ред
Райли Л.;1256193;автор
Остен Дж.;937839;автор
Кенилли Т.;889771;автор
Ирышкин О.;1195215;автор
Стругацкий А.;937401;автор
Андерсен ГХ.;1216425;автор
Глуховский Д.;887852;автор
Нефедова М.;816070;автор
Финкель А.;1207582;автор
Никитина ТГ.;440933;автор
Джексон Т.;1180232;ред
Алешковский Ю.;1222707;автор
Гамсун К.;302773;автор
Талалаева Е.;878943;ред
Дяченко С.;1176532;автор
Говард Р.;1087017;автор
Кантрелл Р.;775943;автор
Мансурова О.;408906;автор
Стюарт К.;1178487;автор
Фицджеральд Ф.;1221016;автор
Касаткина И.;1081845;автор
Боярская С.;1222627;отв-ред
Васина Е.;1050202;автор
Гофман О.;436776;автор
Терентьева Н.;973995;автор
Маркова В.;1082312;сост
Перри Э.;450291;автор
Газина Э.;754875;ред
Харников А.;1076065;автор
Черчень А.;843874;автор
Шмеман У.;742686;автор
Дмитриева В.;1165765;сост
Прокофьева С.;1018691;автор
Робатень Л.;1009118;ред
Михайлова Т.;341199;автор
ГаринМихайловский Н.;969170;автор
Соловьев С.;1042347;автор
Стивенсон С.;969442;автор
Полонский В.;1201348;автор
Гаглоев Е.;926805;автор
Болдуин Д.;1224699;автор
Радина Т.;779455;ред
Гарднер Л.;843789;автор
Притыкина Т.;1005731;автор
Виннер М.;400040;автор
Козлов Н.;352086;автор
Ефремов А.;380514;ред
Волкова Е.;1221392;автор
Дойл А.;1082672;автор
Швецова О.;1005700;автор
Бианки В.;336748;автор
Горбунова И.;1045142;худ
Хилл Н.;817644;автор
Стайн Р.;1241242;автор
Мальцева И.;265655;автор
Калеченок В.;1183687;автор
Зорич А.;1007796;автор
Маршалл М.;311090;автор
Гете И.;260940;автор
Виноградова Е.;1195425;ред
Филатов Л.;982686;автор
Голявкин В.;1007038;автор
Дубенюк Н.;785230;ред
Берроуз Э.;902830;автор
Райт Б.;1172061;автор
Кинг С.;832314;автор
Шевченко С.;999830;автор
Хаббард Б.;1041665;автор
Чичко Н.;1079581;автор
Бендис БМ.;1212056;автор
Спиллейн М.;339828;автор
Арсеньева Е.;1073540;автор
Орлов П.;381900;автор
Новикова Е.;984512;ред
Глумов В.;725715;автор
Гаврина С.;848522;автор
Митчелл М.;1234955;автор
Шахова А.;774869;ред
Даррелл Дж.;1051948;автор
Рубина Д.;868163;автор
Улс Я.;1195813;автор
Машкова Д.;829601;автор
Фицджеральд Ф.;1208697;автор
Усикова О.;841312;автор
Нестеров М.;451926;автор
Мельников П.;1191547;автор
Жукова О.;868528;автор
Тамоников А.;263776;автор
Черный С.;970814;автор
Данэльян И.;1222629;отв-ред
Хеймор Дж.;878813;автор
Добротворская К.;1177535;автор
Казанцев К.;766133;автор
Линдгрен А.;389387;автор
Клармон М.;937507;автор
Ахматова А.;262681;автор
Дьюран М.;754771;автор
Мур Л.;1177541;автор
Вайсбергер Л.;1183758;автор
Газзаев В.;897687;автор
Воронина О.;1242896;автор
Брэдли С.;1004170;автор
Камянова Т.;922220;автор
Арутюнян С.;1013945;вып-ред
Тарасевич О.;505274;автор
Рябченко В.;390988;ред
Пастернак Б.;902885;автор
Ли М.;1255452;автор
Суркова Л.;1227149;автор
Ткачева М.;1030187;автор
Пушкин А.;1228197;автор
Елисеева Л.;1229901;автор
Тимофеева И.;1259622;автор
Донцова Д.;1191567;автор
Толстой А.;1190075;автор
Диббен К.;970359;автор
Горбачева Н.;1213539;ред
Геннис Г.;838394;ред
Кострикин П.;1184243;ред
Байрон ДжГ.;1095681;автор
Будянская Н.;974282;автор
ЖуковаГладкова М.;266578;автор
Станкова М.;389374;автор
Красницкий Е.;910947;автор
Багиров Э.;296490;автор
Самойлова Т.;1032281;автор
Жур Б.;267883;автор
Животикова Е.;1059252;пер
Шарма Р.;1206434;автор
Перро Ш.;1052804;автор
Иванович Ю.;842757;автор
Коэльо П.;1166474;автор
Хемингуэй Э.;902037;автор
Экслер А.;431681;автор
Бурцева В.;721540;автор
Мэссет К.;379797;автор
Вербинина В.;728743;автор
Барто А.;901612;автор
Гейнце Н.;327309;автор
Шалаева Г.;440529;автор
Танько М.;1007620;автор
Нефедова Е.;1171013;автор
Калинина Д.;268604;автор
Кортасар Х.;854826;автор
Савостьянова Е.;766258;автор
Горелик Л.;1235239;автор
Малобродский А.;1242524;автор
Вос Е.;712985;автор
Свияш А.;896285;автор
Мэсси Р.;1164634;автор
Драйзер Т.;1174074;автор
Бассо А.;881409;автор
Ди Специо М.;298292;автор
Конюхов Ф.;1178392;автор
Жилинская А.;491375;ред
Матюшкина К.;1241956;автор
Пономаренко В.;733756;автор
Гоголь Н.;1018107;автор
Зощенко М.;929480;автор
Попов А.;1066868;автор
Норбеков М.;1081875;автор
Байстер М.;1183717;автор
Левашева Е.;1069282;ред
